Date;Mois;Contrepartie;Montant (€);Source;Type;Catégorie;Matched mot_clé;Matched type_condition
2022-01-25 11:08:13;2022-01;Service impots entreprises Paris 16 Sud;-70.0;Qonto;;impots;Service impots entreprises Paris 16 Sud;
2022-01-27 06:13:17;2022-01;CORUM ASSET MANAGEMENT;-150144.0;Qonto;;SCPI;CORUM ASSET MANAGEMENT;
2022-02-01 07:15:22;2022-02;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-02-02 06:16:13;2022-02;SCPI EPARGNE PIERRE;-150176.0;Qonto;;SCPI;EPARGNE PIERRE;
2022-02-02 06:21:11;2022-02;PRIMOPIERRE;-200096.0;Qonto;;SCPI;PRIMOPIERRE;
2022-02-09 00:00:00;2022-02;À RAIZERS;-100000.0;Revolut;TRANSFER;Crowdfunding;Raizers;
2022-02-16 00:00:00;2022-02;À Nexo;-100000.0;Revolut;TRANSFER;crypto;Nexo;
2022-03-01 07:45:40;2022-03;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-04-01 07:45:49;2022-04;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-04-13 00:00:00;2022-04;À RAIZERS;-20600.42;Revolut;TRANSFER;Crowdfunding;Raizers;
2022-05-01 07:45:17;2022-05;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-05-05 07:06:45;2022-05;PRIMOPIERRE;1154.4;Qonto;;SCPI;PRIMOPIERRE;
2022-05-30 00:00:00;2022-05;À RAIZERS;-65000.0;Revolut;TRANSFER;Crowdfunding;Raizers;
2022-06-01 08:28:38;2022-06;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-06-14 07:04:31;2022-06;Cuvelier Fauvarque;-630.0;Qonto;;FdS;Cuvelier Fauvarque;
2022-06-14 09:24:08;2022-06;Qonto;6.81;Qonto;;FdS;Qonto;
2022-07-01 03:04:02;2022-07;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-07-04 00:00:00;2022-07;Recharge par Nexo AG;50000.0;Revolut;TOPUP;crypto;Nexo;TOPUP
2022-07-21 00:00:00;2022-07;À Fedex;-11.0;Revolut;TRANSFER;FdS;Fedex;
2022-07-26 00:03:59;2022-07;Guichar Jean-Philippe;-14629.0;Qonto;;FdS;Guichar Jean-Philippe;
2022-07-28 00:00:00;2022-07;À RAIZERS;-50000.0;Revolut;TRANSFER;Crowdfunding;Raizers;
2022-07-29 14:24:51;2022-07;SCI   PRIMOPIERRE;1032.55;Qonto;;SCPI;PRIMOPIERRE;
2022-08-01 03:04:04;2022-08;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-08-04 07:01:57;2022-08;FIDATECH;-1200.0;Qonto;;VC;FIDATECH;
2022-08-11 10:21:14;2022-08;CORUM EURION;611.98;Qonto;;SCPI;CORUM EURION;
2022-09-01 03:03:58;2022-09;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-09-06 00:00:00;2022-09;À Nexo;-50000.0;Revolut;TRANSFER;crypto;Nexo;
2022-09-13 11:10:21;2022-09;CORUM EURION;748.51;Qonto;;SCPI;CORUM EURION;
2022-09-30 05:09:18;2022-09;DGFIP;-175.0;Qonto;;impots;DGFIP;
2022-10-01 03:04:02;2022-10;Qonto;-10.8;Qonto;;FdS;Qonto;
2022-10-11 10:19:13;2022-10;CORUM EURION;713.63;Qonto;;SCPI;CORUM EURION;
2022-10-19 05:20:16;2022-10;DGFIP;-1342.0;Qonto;;impots;DGFIP;
2022-10-21 00:00:00;2022-10;Recharge par ANDROMEDE;1964718.0;Revolut;TOPUP;VC;ANDROMEDE;TOPUP
2022-10-24 10:35:05;2022-10;SCPI EPARGNE PIERRE;1906.08;Qonto;;SCPI;EPARGNE PIERRE;
