Date de la valeur (UTC);Nom de la contrepartie;Montant total (TTC)
18-11-2024 06:53:21;URSSAF D'ILE DE FRANCE;-10,00
15-11-2024 15:19:35;Mangopay;266,66
14-11-2024 14:07:39;AURELIA DURAND DESIGN STUDIO;-8021,40
14-11-2024 07:57:57;Mangopay;388,56
13-11-2024 17:03:47;CORUM EURION;929,81
11-11-2024 08:44:42;SAS INFINI CAPITAL;56,10
11-11-2024 08:42:23;SAS BVI.EU FINANCE  FP;166,60
11-11-2024 08:30:57;SAS SGM PERSEPHONE FP;166,60
11-11-2024 07:58:47;SAS GDG HOLDCO FRAGONARD FP;166,60
07-11-2024 16:44:55;Guichar Jean-Philippe;-700,00
06-11-2024 06:38:44;Alan Insurance;-102,00
05-11-2024 08:32:22;Mangopay;1100,00
03-11-2024 18:59:54;PATRIMOINE SUR MESURE;-17388,00
31-10-2024 15:42:55;SCI   PRIMOPIERRE;1731,60
25-10-2024 13:23:10;Geoffrey RAIA;-5600,00
25-10-2024 07:03:23;EFIMMO 1;510,62
25-10-2024 07:02:09;EFIMMO 1;949,50
25-10-2024 07:02:04;SCPI IMMORENTE;2063,88
24-10-2024 14:19:07;ARIA;19788,00
24-10-2024 14:16:50;ARIA;10592,40
24-10-2024 07:01:23;SCPI EPARGNE PIERRE;3175,92
21-10-2024 07:12:02;Mangopay;9617,64
21-10-2024 05:33:16;ALTAROC ODYSSEY 2023 FPCI;-10000,00
21-10-2024 05:30:32;ALTAROC ODYSSEY 2022 FPCI - COLLECTE;-10000,00
16-10-2024 06:05:44;DGFIP;-1161,00
16-10-2024 05:47:27;URSSAF D'ILE DE FRANCE;-10,00
11-10-2024 14:19:16;CORUM EURION;867,36
09-10-2024 10:10:15;SAS GDG HOLDCO FRAGONARD FP;166,60
09-10-2024 10:09:54;SAS SGM PERSEPHONE FP;166,60
09-10-2024 10:09:53;SAS INFINI CAPITAL;240,30
09-10-2024 10:09:29;SAS BVI.EU FINANCE  FP;166,60
08-10-2024 10:22:27;Mangopay;683,34
04-10-2024 06:11:12;Alan Insurance;-102,00
02-10-2024 08:07:54;FRENCH PAYROLL EXPERT / Thomas Bidou;-126,00
02-10-2024 05:58:46;DGFIP;-14010,00
23-09-2024 10:03:41;PATRIMOINE SUR MESURE;-17388,00
23-09-2024 06:58:25;PATRIMOINE SUR MESURE;-17388,00
23-09-2024 06:54:03;PATRIMOINE SUR MESURE;-17388,00
19-09-2024 08:10:48;Geoffrey RAIA;-8400,00
19-09-2024 07:21:17;ARIA;19788,00
19-09-2024 07:12:15;ARIA;15888,60
18-09-2024 05:56:21;DGFIP;-1457,00
17-09-2024 14:09:08;Dutch Style;-1082,50
17-09-2024 05:52:41;URSSAF D'ILE DE FRANCE;-10,00
11-09-2024 14:08:14;CORUM EURION;949,03
10-09-2024 07:08:21;SAS BVI.EU FINANCE  FP;166,60
10-09-2024 07:08:21;SAS INFINI CAPITAL;240,30
10-09-2024 07:01:14;SAS GDG HOLDCO FRAGONARD FP;166,60
10-09-2024 07:00:10;SAS SGM PERSEPHONE FP;166,60
04-09-2024 05:54:41;Alan Insurance;-102,00
02-09-2024 09:16:18;AURELIA DURAND DESIGN STUDIO;-1383,00
19-08-2024 05:57:12;URSSAF D'ILE DE FRANCE;-10,00
16-08-2024 07:04:12;Guichar Jean-Philippe;-7988,63
15-08-2024 07:03:34;Geoffrey RAIA;-9200,00
14-08-2024 19:05:28;Guichar Jean-Philippe;-4675,00
14-08-2024 19:03:59;Guichar Jean-Philippe;-4212,00
13-08-2024 07:04:13;CORUM EURION;910,00
12-08-2024 07:49:26;ARIA;17401,80
12-08-2024 07:28:12;ARIA;19788,00
06-08-2024 07:51:00;SAS SGM PERSEPHONE FP;166,60
