Date de la valeur (UTC);Nom de la contrepartie;Montant total (TTC)
20-03-2023 06:27:51;LBO - FONDS FCPR WCS 3;-32000,00
13-03-2023 12:48:43;CORUM EURION;615,30
13-03-2023 12:43:36;ETHIFINANCE SAS;1200,00
08-03-2023 10:54:33;SAS BVI.EU FINANCE  FP;311,20
03-03-2023 11:44:21;M BIBOUM NYEMB ITIBI JOSEPH;1200,00
01-03-2023 03:03:42;Qonto;-10,80
22-02-2023 10:45:28;Mangopay;98600,42
14-02-2023 06:18:20;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-30000,00
13-02-2023 12:09:00;CORUM EURION;632,37
08-02-2023 06:22:27;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-20000,00
02-02-2023 15:30:21;QIVALIO;1200,00
01-02-2023 12:18:27;M BIBOUM NYEMB ITIBI JOSEPH;1200,00
01-02-2023 11:29:20;SCI   PRIMOPIERRE;1952,86
01-02-2023 11:24:47;SCI   PRIMOPIERRE;240,50
01-02-2023 03:03:38;Qonto;-10,80
30-01-2023 12:13:41;QIVALIO;6468,00
30-01-2023 11:37:01;SCPI EPARGNE PIERRE;2057,70
26-01-2023 06:25:50;ALTAROC GLOBAL 2022 FPCI - COLLECTE;-17201,37
11-01-2023 12:11:58;CORUM EURION;678,08
10-01-2023 06:31:50;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-100000,00
02-01-2023 06:20:54;SCPI EPARGNE PIERRE;-100048,00
01-01-2023 03:03:43;Qonto;-10,80
28-12-2022 06:20:27;GENERALI VIE SA;-200000,00
28-12-2022 06:17:06;GENERALI VIE SA;-500000,00
26-12-2022 09:07:41;M BIBOUM NYEMB ITIBI JOSEPH;3600,00
22-12-2022 16:14:08;PERSPECTIVES ADVISORY;6543,00
22-12-2022 06:17:49;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-20000,00
16-12-2022 06:35:00;DIRECTION GENERALE DES FINANCES PUBLIQUES;-70,00
13-12-2022 12:29:18;CORUM EURION;632,89
01-12-2022 03:03:46;Qonto;-10,80
25-11-2022 10:52:16;HFG;300000,00
25-11-2022 06:20:24;IMMORENTE  SCPI;-199920,00
24-11-2022 06:14:14;EFIMMO 1;-100014,00
22-11-2022 06:19:03;CORUM ASSET MANAGEMENT;-99975,00
15-11-2022 14:47:46;HFG;500000,00
11-11-2022 11:46:39;CORUM EURION;710,68
01-11-2022 10:53:56;SCI   PRIMOPIERRE;1548,82
01-11-2022 03:03:49;Qonto;-10,80
28-10-2022 09:54:13;HFG;1000000,00
24-10-2022 10:35:05;SCPI EPARGNE PIERRE;1906,08
19-10-2022 05:20:16;DGFIP;-1342,00
11-10-2022 10:19:13;CORUM EURION;713,63
01-10-2022 03:04:02;Qonto;-10,80
30-09-2022 05:09:18;DGFIP;-175,00
13-09-2022 11:10:21;CORUM EURION;748,51
01-09-2022 03:03:58;Qonto;-10,80
11-08-2022 10:21:14;CORUM EURION;611,98
04-08-2022 07:01:57;FIDATECH;-1200,00
01-08-2022 03:04:04;Qonto;-10,80
29-07-2022 14:24:51;SCI   PRIMOPIERRE;1032,55
26-07-2022 00:03:59;Guichar Jean-Philippe;-14629,00
01-07-2022 03:04:02;Qonto;-10,80
14-06-2022 09:24:08;Qonto;6,81
14-06-2022 07:04:31;Cuvelier Fauvarque;-630,00
01-06-2022 08:28:38;Qonto;-10,80
05-05-2022 07:06:45;PRIMOPIERRE;1154,40
01-05-2022 07:45:17;Qonto;-10,80
01-04-2022 07:45:49;Qonto;-10,80
01-03-2022 07:45:40;Qonto;-10,80
02-02-2022 06:21:11;PRIMOPIERRE;-200096,00
02-02-2022 06:16:13;SCPI EPARGNE PIERRE;-150176,00
01-02-2022 07:15:22;Qonto;-10,80
27-01-2022 06:13:17;CORUM ASSET MANAGEMENT;-150144,00
25-01-2022 11:08:13;Service impots entreprises Paris 16 Sud;-70,00
24-01-2022 08:22:10;HFG;500416,00
01-01-2022 07:14:57;Qonto;-10,80
01-12-2021 14:24:02;Qonto;-10,80
16-11-2021 09:03:45;QIIP;-4845,00
10-11-2021 11:04:21;HFG;-25000,00
08-11-2021 09:05:20;HFG;-25000,00
01-11-2021 19:31:49;Qonto;-10,80
20-10-2021 05:20:29;Direction Générale des Finances Publiques (DGFIP);-2383,00
20-10-2021 05:19:00;Direction Générale des Finances Publiques (DGFIP);-4263,00
06-10-2021 07:05:03;Guichar Jean-Philippe;-6657,00
01-10-2021 00:24:37;Qonto;-10,80
01-09-2021 22:12:49;Qonto;-10,80
04-08-2021 05:12:02;Viseeon;-98,00
02-08-2021 10:22:17;ADVANCED CMA;1200,00
01-08-2021 21:05:21;Qonto;-10,80
26-07-2021 10:04:07;HFG;-190000,00
21-07-2021 08:08:02;HFG;-10000,00
06-07-2021 05:13:59;Viseeon;-98,00
02-07-2021 07:00:05;ADVANCED CMA;3600,00
01-07-2021 21:18:20;Qonto;-10,80
25-06-2021 06:53:47;ADVANCED CMA;300000,00
04-06-2021 05:16:59;Viseeon;-98,00
01-06-2021 02:12:12;Qonto;-10,80
05-05-2021 10:48:34;Viseeon;-98,00
01-05-2021 17:43:00;Qonto;-10,80
08-04-2021 05:28:30;Viseeon;-98,00
01-04-2021 16:19:06;Qonto;-10,80
29-03-2021 06:50:01;ADVANCED CMA;3600,00
23-03-2021 06:15:19;Viseeon;-196,00
01-03-2021 18:13:29;Qonto;-10,80
01-02-2021 18:26:40;Qonto;-10,80
26-01-2021 09:01:13;AUTHEC;-426,00
26-01-2021 09:02:33;AUTHEC;-756,00
01-01-2021 18:01:11;Qonto;-10,80
23-12-2020 08:50:43;ADVANCED CMA;3600,00
10-12-2020 11:01:13;QIIP Compte augmentation de capital;-150000,00
19-11-2020 08:48:20;ADVANCED CMA;150000,00
16-11-2020 06:11:59;Service des Impôts des Entreprises (SIE);-1167,00
01-11-2020 14:13:11;Qonto;-10,80
20-10-2020 08:00:34;Raizers;-10000,00
01-10-2020 11:09:16;Qonto;-10,80
30-09-2020 14:56:23;Qonto;10,44
30-09-2020 03:54:35;Qonto;-10,80
25-09-2020 07:02:16;ADVANCED CMA;3600,00
09-09-2020 16:32:10;Qonto;-2,40
09-09-2020 15:15:00;SARL MAS MARINE;3500,00
09-09-2020 09:24:22;Qonto;2,40
30-08-2020 01:12:21;Qonto;-10,80
13-08-2020 16:01:38;HFG;2644,60
13-08-2020 07:01:34;Guichar Jean-Philippz;-5238,00
12-08-2020 16:10:55;Qonto;-8,37
12-08-2020 16:02:14;HFG;10000,00
