ID_invest;Classe d actif;Plateforme;Nom;Support;Date prevue;Type de flux;Montant attendu;TVA;Devise;Commentaire
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/06/2024;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/07/2024;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/08/2024;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/09/2024;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/10/2024;in_versement_interet;166,6;0;EUR;-
38;Crowdlending;ClubFunding;FRAGONARD SCHOOL / GDG Holdco fragonard SAS;obligation;01/11/2024;in_versement_interet;166,6;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/04/2023;in_versement_interet;166,6;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/05/2023;in_versement_interet;166,6;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/06/2023;in_versement_interet;166,6;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/07/2023;in_versement_interet;166,6;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/08/2023;in_versement_interet;166,6;0;EUR;-
36;Crowdlending;ClubFunding;Park ESCAUDAIN / BVI.EU Finance SASU;obligation;01/09/2023;in_versement_interet;166,6;0;EUR;-
