ID_invest;Classe d actif;Plateforme;Nom;Support;Date prevue;Type de flux;Montant attendu;TVA;Devise;Commentaire
12;SCPI;Atland-voisin;Epargne Pierre Europe;part;01/01/2030;in_loyer_scpi;875;0;EUR;2029-T4
12;SCPI;Atland-voisin;Epargne Pierre Europe;part;01/04/2030;in_loyer_scpi;875;0;EUR;2030-T1
12;SCPI;Atland-voisin;Epargne Pierre Europe;part;01/07/2030;in_loyer_scpi;875;0;EUR;2030-T2
12;SCPI;Atland-voisin;Epargne Pierre Europe;part;01/10/2030;in_loyer_scpi;875;0;EUR;2030-T3
8;SCPI;CORUM;EURION;part;01/10/2024;in_loyer_scpi;867,36;0;EUR;2024-10
8;SCPI;CORUM;EURION;part;01/05/2024;in_loyer_scpi;867,12;0;EUR;2024-05
8;SCPI;CORUM;EURION;part;01/11/2023;in_loyer_scpi;850,67;0;EUR;2023-11
16;Crowdlending;Raizers;Chamonix Les Praz;obligation;09/09/2022;in_versement_interet;850;0;EUR;-
16;Crowdlending;Raizers;Chamonix Les Praz;obligation;03/08/2023;in_versement_interet;850;0;EUR;-
8;SCPI;CORUM;EURION;part;01/05/2025;in_loyer_scpi;834;0;EUR;2025-05
8;SCPI;CORUM;EURION;part;01/06/2025;in_loyer_scpi;834;0;EUR;2025-06
8;SCPI;CORUM;EURION;part;01/07/2025;in_loyer_scpi;834;0;EUR;2025-07
8;SCPI;CORUM;EURION;part;01/08/2025;in_loyer_scpi;834;0;EUR;2025-08
8;SCPI;CORUM;EURION;part;01/09/2025;in_loyer_scpi;834;0;EUR;2025-09
8;SCPI;CORUM;EURION;part;01/10/2025;in_loyer_scpi;834;0;EUR;2025-10
8;SCPI;CORUM;EURION;part;01/11/2025;in_loyer_scpi;834;0;EUR;2025-11
8;SCPI;CORUM;EURION;part;01/12/2025;in_loyer_scpi;834;0;EUR;2025-12
8;SCPI;CORUM;EURION;part;01/01/2026;in_loyer_scpi;834;0;EUR;2026-01
8;SCPI;CORUM;EURION;part;01/02/2026;in_loyer_scpi;834;0;EUR;2026-02
8;SCPI;CORUM;EURION;part;01/03/2026;in_loyer_scpi;834;0;EUR;2026-03
8;SCPI;CORUM;EURION;part;01/04/2026;in_loyer_scpi;834;0;EUR;2026-04
8;SCPI;CORUM;EURION;part;01/05/2026;in_loyer_scpi;834;0;EUR;2026-05
8;SCPI;CORUM;EURION;part;01/06/2026;in_loyer_scpi;834;0;EUR;2026-06
8;SCPI;CORUM;EURION;part;01/07/2026;in_loyer_scpi;834;0;EUR;2026-07
8;SCPI;CORUM;EURION;part;01/08/2026;in_loyer_scpi;834;0;EUR;2026-08
8;SCPI;CORUM;EURION;part;01/09/2026;in_loyer_scpi;834;0;EUR;2026-09
8;SCPI;CORUM;EURION;part;01/10/2026;in_loyer_scpi;834;0;EUR;2026-10
8;SCPI;CORUM;EURION;part;01/11/2026;in_loyer_scpi;834;0;EUR;2026-11
8;SCPI;CORUM;EURION;part;01/12/2026;in_loyer_scpi;834;0;EUR;2026-12
8;SCPI;CORUM;EURION;part;01/01/2027;in_loyer_scpi;834;0;EUR;2027-01
8;SCPI;CORUM;EURION;part;01/02/2027;in_loyer_scpi;834;0;EUR;2027-02
8;SCPI;CORUM;EURION;part;01/03/2027;in_loyer_scpi;834;0;EUR;2027-03
8;SCPI;CORUM;EURION;part;01/04/2027;in_loyer_scpi;834;0;EUR;2027-04
8;SCPI;CORUM;EURION;part;01/05/2027;in_loyer_scpi;834;0;EUR;2027-05
8;SCPI;CORUM;EURION;part;01/06/2027;in_loyer_scpi;834;0;EUR;2027-06
8;SCPI;CORUM;EURION;part;01/07/2027;in_loyer_scpi;834;0;EUR;2027-07
8;SCPI;CORUM;EURION;part;01/08/2027;in_loyer_scpi;834;0;EUR;2027-08
8;SCPI;CORUM;EURION;part;01/09/2027;in_loyer_scpi;834;0;EUR;2027-09
8;SCPI;CORUM;EURION;part;01/10/2027;in_loyer_scpi;834;0;EUR;2027-10
8;SCPI;CORUM;EURION;part;01/11/2027;in_loyer_scpi;834;0;EUR;2027-11
8;SCPI;CORUM;EURION;part;01/12/2027;in_loyer_scpi;834;0;EUR;2027-12
8;SCPI;CORUM;EURION;part;01/01/2028;in_loyer_scpi;834;0;EUR;2028-01
8;SCPI;CORUM;EURION;part;01/02/2028;in_loyer_scpi;834;0;EUR;2028-02
8;SCPI;CORUM;EURION;part;01/03/2028;in_loyer_scpi;834;0;EUR;2028-03
8;SCPI;CORUM;EURION;part;01/04/2028;in_loyer_scpi;834;0;EUR;2028-04
8;SCPI;CORUM;EURION;part;01/05/2028;in_loyer_scpi;834;0;EUR;2028-05
8;SCPI;CORUM;EURION;part;01/06/2028;in_loyer_scpi;834;0;EUR;2028-06
8;SCPI;CORUM;EURION;part;01/07/2028;in_loyer_scpi;834;0;EUR;2028-07
8;SCPI;CORUM;EURION;part;01/08/2028;in_loyer_scpi;834;0;EUR;2028-08
8;SCPI;CORUM;EURION;part;01/09/2028;in_loyer_scpi;834;0;EUR;2028-09
8;SCPI;CORUM;EURION;part;01/10/2028;in_loyer_scpi;834;0;EUR;2028-10
8;SCPI;CORUM;EURION;part;01/11/2028;in_loyer_scpi;834;0;EUR;2028-11
8;SCPI;CORUM;EURION;part;01/12/2028;in_loyer_scpi;834;0;EUR;2028-12
8;SCPI;CORUM;EURION;part;01/01/2029;in_loyer_scpi;834;0;EUR;2029-01
8;SCPI;CORUM;EURION;part;01/02/2029;in_loyer_scpi;834;0;EUR;2029-02
8;SCPI;CORUM;EURION;part;01/03/2029;in_loyer_scpi;834;0;EUR;2029-03
